samples,fin_data,OnST,OnST-H
129,0.351033458404263,0.00175241984210836,0.00340533323846915
130,0.344816557402153,0.00177958050020906,0.00344027226390536
131,0.315659245363725,0.00179000217871696,0.00345136560749701
132,0.27750505637168,0.0017592133944046,0.00339032590848663
133,0.325251901118107,0.00173195221070681,0.00334548714794289
134,0.314583266314564,0.00175003322488434,0.00338271000685478
135,0.32882314080215,0.0017690499898768,0.00342729258696093
136,0.350348211948021,0.00179965609541207,0.00348941871995615
137,0.33600222936174,0.00182244265184167,0.00353278139797781
138,0.347986901243975,0.00183946320343603,0.00357555202888989
139,0.365516135887715,0.00186108738156204,0.00362303557484185
140,0.360930099183619,0.00191458264060263,0.00372303878486519
141,0.363141146936462,0.00196421262820088,0.0038137967752151
142,0.324617418739654,0.00202576948668382,0.00390799878360549
143,0.314230499365519,0.00206234194567241,0.00395934459064908
144,0.331856077559223,0.00209893840831428,0.00401082668769205
145,0.279713348417632,0.00212936527814375,0.00406021671369083
146,0.297027688807676,0.00211973471888618,0.00405425231777918
147,0.288706478037804,0.00213385791541218,0.00408517067222645
148,0.290907163388681,0.0021518503694196,0.00412048131301213
149,0.259767335971065,0.00217839269603212,0.00416042686895635
150,0.28487326436556,0.00218211283522401,0.00416729336094265
151,0.206494292033875,0.00223164428603073,0.00422916549003536
152,0.205016379912266,0.00226233811641235,0.00427587359728614
153,0.207374011943687,0.00227293146830083,0.00431426317978045
154,0.195115247890897,0.00228395289256791,0.00437521577688893
155,0.210919296000745,0.002301963039235,0.00444742637294183
156,0.21186232531046,0.00232315960568305,0.00452185095661514
157,0.211812518021042,0.0023447794099768,0.00459921699124387
158,0.217666812604606,0.00237081119728164,0.00468307567752611
159,0.271463314067721,0.00240367196272336,0.0047779572794282
160,0.268189920717603,0.00244526855264926,0.00487784615631244
161,0.188161100085889,0.00249684894726072,0.00499467749377842
162,0.209948263036405,0.002534288042954,0.00509918930230143
163,0.22723316930351,0.00258179562141611,0.0052163723578524
164,0.220430459037909,0.00263779261565765,0.00534650486925965
165,0.232857875387564,0.00268974661759045,0.00547821925179778
166,0.272343624294342,0.00273390220031421,0.00559729068564347
167,0.273872252980737,0.00277158104557272,0.00569849892734938
168,0.25684071447067,0.00281255693676339,0.00580607318493456
169,0.255627440891009,0.00286050759651579,0.00592318246604494
170,0.278995160167636,0.00291053579412916,0.00604187589428703
171,0.297052354105992,0.00297674953476686,0.00618594929601524
172,0.310214063341499,0.00304718421363739,0.00633247091850359
173,0.310221626005587,0.00309997354808079,0.00643971763011225
174,0.316167546597028,0.0031575650814454,0.0065545326137229
175,0.317321466954117,0.00321559271225717,0.00665819016996467
176,0.292525964808954,0.0032826062863511,0.00677251412556823
177,0.273881015533188,0.00335203104326414,0.00689383517016712
178,0.289823000291982,0.00341859135068941,0.00701305283698812
179,0.309622403742423,0.00349106191034179,0.00713295772144284
180,0.302067780758981,0.00358345761231206,0.00726980823860102
181,0.278313788962615,0.00367291004840615,0.00738016388012054
182,0.246042463124584,0.00377245062350139,0.00751250505020985
183,0.204252873030671,0.00388227830987766,0.00766127229196917
184,0.212121154471907,0.00399151466859144,0.0078022427949742
185,0.172551009613546,0.00412077493609962,0.00796100737368212
186,0.200243377018285,0.00423913461789609,0.00810856549624748
187,0.218429343724555,0.00437688785420088,0.00827312913622874
188,0.259111787509019,0.00453028954614779,0.00846620021388015
189,0.291207125330041,0.00468234345235298,0.00864016353518902
190,0.293547719896966,0.00483264867853126,0.00878387441657704
