samples,GSR-O H=2,GSR-O H=5,GSR-OH H=2,CSR-OH H=5,Offline H=2,Offline H=5
4401,0.263513043242508,0.250542733872531,0.199246535650767,0.316024330221468,0.285742409112819,0.270222604701535
4451,0.263462435340285,0.249975165551536,0.199896003761678,0.315891399360437,0.285309364525098,0.269832965483329
4501,0.263773380894014,0.249400170467258,0.200127422562902,0.315687238006275,0.285140841286069,0.269794894174617
4551,0.263460445283179,0.248554863856196,0.199945078763575,0.315216519239143,0.28466052436067,0.26941465704942
4601,0.263429368618871,0.248153350176043,0.199848093819023,0.315186528491358,0.284483670482252,0.269147932553735
4651,0.26304247937056,0.247244851706843,0.199246296815454,0.314501061545799,0.283853563673476,0.267901300462943
4701,0.262793334126469,0.246393764861185,0.198873874843286,0.314168544103077,0.283580406214689,0.267667829201739
4751,0.262707650809117,0.245913551431157,0.198994251398823,0.314016719731785,0.283465209522131,0.26748850609534
4801,0.262589059607003,0.245419447410212,0.19889032966924,0.313901871479516,0.283351183014451,0.267532886782037
4851,0.262383944413784,0.244945273703785,0.198633707722094,0.314006664525703,0.283302100093545,0.267629958609428
4901,0.261959729567485,0.244374388234643,0.198204245505268,0.313697875086363,0.283042168868097,0.267581241249171
4951,0.261449538622657,0.243445205599346,0.197385828241701,0.31355437420758,0.282709830445159,0.267607459220566
5001,0.26094656060825,0.242622952002697,0.19679054966377,0.313609528814015,0.2825354094911,0.267416810737473
5051,0.260308293647851,0.241554818202957,0.195855360564205,0.313677344011028,0.282433184535553,0.26684238074823
5101,0.259752238902906,0.240656932550476,0.195248205918807,0.31361950838537,0.282205059351707,0.26676100959305
5151,0.259390590753166,0.239868402968195,0.19506615745509,0.313343515547375,0.281935128747398,0.26656264099911
5201,0.258835651349406,0.239050935239755,0.194264465109783,0.313260349522586,0.281683681010417,0.266115956187499
5251,0.258439951184394,0.238291957183953,0.193462482316656,0.313182103565232,0.281247152226072,0.266030372998989
5301,0.258077078480146,0.237799019587412,0.193146560861202,0.313318412467812,0.281028107570686,0.266102606544116
5351,0.257680086914543,0.237196819863438,0.193082205076154,0.313193696485521,0.280760322436203,0.26598213556228
5401,0.25726436870026,0.236767299645983,0.192606575621484,0.312785285148243,0.280257432120418,0.26560146856349
5451,0.25706448034051,0.236278592953731,0.191998502456285,0.312452253305333,0.279658709117428,0.265199878696519
5501,0.257011168234118,0.235860861654079,0.191486857135714,0.312632117021073,0.279429279992164,0.265497143126354
5551,0.256630613427586,0.235204089498155,0.190802641398128,0.312697056192167,0.279208542910986,0.26540850363983
5601,0.256227694431274,0.234442654353299,0.190281824181965,0.312867975300261,0.279142102416839,0.265807970231207
5651,0.256101692483289,0.233802192791135,0.189990885701635,0.312968936372565,0.279025451290344,0.266590499399724
5701,0.256214844719988,0.233422799417222,0.189613508377852,0.31284359981397,0.278744662624434,0.266433941759625
5751,0.256119100905159,0.232870103623033,0.188989350572394,0.312706439808426,0.278330749312695,0.265767618267918
5801,0.255848196027336,0.232377922956221,0.188573971477765,0.31259963725653,0.278023145841814,0.265719967524675
5851,0.255600908980623,0.232177795097716,0.188573383697715,0.31216449205562,0.277555820588343,0.265483614181957
5901,0.255426669124874,0.231679915136899,0.188386195469788,0.31197914179722,0.277257101265669,0.265539794632917
5951,0.255513187083064,0.231591863546868,0.188687120093316,0.311870164253105,0.277106418111885,0.265446866810878
6001,0.255723780770775,0.231430604255804,0.188983174156951,0.311996624617628,0.27695184083012,0.265677754114923
6051,0.255608771548021,0.230917924988031,0.188529607403973,0.312121540548639,0.27658996560575,0.265134155549566
6101,0.255569543064592,0.230472014816657,0.187954342441114,0.312158056114103,0.276162100237947,0.264497961032818
6151,0.255525795355018,0.230132097007982,0.187489097726939,0.312333019302189,0.275928528860773,0.264080108981698
6201,0.25542800409029,0.22951757525012,0.186991857515656,0.31235224997133,0.275642692124154,0.264107843069047
6251,0.255086104349529,0.228797290092631,0.186430722800566,0.312396356184257,0.275262606269812,0.264167204677733
6301,0.255228786226076,0.228347634533404,0.186201443074908,0.31240366671347,0.275002335844875,0.264243840544503
6351,0.255221598391907,0.227917887214721,0.185842421867545,0.312306013331921,0.274851494191388,0.264100099437139
6401,0.255215935410875,0.227403729588571,0.185081028626647,0.311839637445198,0.274503947418059,0.26341601922845
6451,0.254913211747425,0.226907097341804,0.184005015381324,0.311196659976918,0.274025981273651,0.26226400906446
6501,0.254377481542435,0.22634319851471,0.183093660750075,0.310811171776538,0.273732914050693,0.261694942310553
6551,0.253817966334257,0.225769021656315,0.182337789542848,0.310764668411922,0.273465403529244,0.261589953681449
6601,0.253438553325792,0.225236259860404,0.181499332643941,0.31081705471585,0.273163832715569,0.261439682218172
6651,0.253176234485443,0.224866214598041,0.18104195677832,0.310926258444501,0.272994811720245,0.261310200229156
6701,0.252906001299684,0.224515017874286,0.180630964299911,0.310674289184123,0.27263368595437,0.260854211985546
6751,0.252597479780105,0.223992316384831,0.180207957832053,0.310458495157337,0.272363103479484,0.260918291239916
6801,0.25236080674403,0.223535448275065,0.179929390019616,0.310357556158277,0.272240920159084,0.260789820318929
6851,0.252089421610401,0.223090979842572,0.179831929138081,0.310089566919492,0.271975627497501,0.260546399773987
6901,0.252075595188572,0.222770790585541,0.179768350759119,0.309913008969588,0.271792327344423,0.260524858949585
6951,0.251804835376764,0.222231546678677,0.179557072153753,0.309544728474611,0.271606367457479,0.26054288894288
7001,0.251780721874628,0.22191271523759,0.179775600141682,0.309600462097147,0.271568035756841,0.26094832069956
7051,0.251675704972418,0.221517186577399,0.179658237628921,0.309540030791047,0.271280677878208,0.260605535450086
7101,0.251897680682352,0.22120525800801,0.179904703964513,0.309857993928106,0.271257944584812,0.261202031966646
7151,0.251860989391353,0.220796047901758,0.180031067510967,0.310112770523576,0.271167552771173,0.261335835034792
7201,0.25171506963346,0.220362631877792,0.180102121173552,0.310197267812121,0.271176453838794,0.261440580917113
7251,0.251668343806714,0.22000257550518,0.179990206595792,0.310303555723243,0.271172093421201,0.261878408301444
7301,0.251553834153488,0.219438537605418,0.179734363315,0.310240194323568,0.270967274248711,0.261671391836057
7351,0.251513964120737,0.218916806981549,0.179585176118958,0.310139519638003,0.270808295222205,0.261701776081424
7401,0.251579821946719,0.218546489494998,0.179948762195902,0.310017117132557,0.270769554343526,0.261632080161099
7451,0.25168701635662,0.218205570065218,0.180267576125816,0.31002155443261,0.270837102935107,0.261381717821199
7501,0.251684328599367,0.217860872596855,0.180245821112863,0.309937525102203,0.270812773732571,0.261128795097652
7551,0.251461163358258,0.217482672989512,0.179857962682168,0.309745327618778,0.270649563078258,0.260900736589823
7601,0.251298319101879,0.217028774375412,0.179541178230993,0.30933940787307,0.270420581302611,0.260623859130011
7651,0.251128994781457,0.216660152758818,0.179287179589836,0.309230508813536,0.270341411604407,0.260710087679401
7701,0.25118979529884,0.216564969082072,0.179593192501313,0.309144604896186,0.270331103346957,0.260577712913487
7751,0.251342308728743,0.216437807622481,0.179818140056615,0.308987671905504,0.270265541647969,0.260600245987009
